Source Target num
0 1 1.000000e-04
0 2 1.000000e-04
0 3 1.000000e-04
0 4 1.000000e-04
0 5 1.000000e-04
0 6 1.000000e-04
0 7 1.000000e-04
0 8 1.000000e-04
0 9 1.000000e-04
0 10 1.000000e-04
1 0 2.500000e-02
1 5 2.315625e-01
1 6 2.315625e-01
1 9 2.315625e-01
1 10 2.315625e-01
2 0 2.500000e-02
2 3 3.087500e-01
2 4 3.087500e-01
2 9 3.087500e-01
3 0 2.500000e-02
3 2 3.087500e-01
3 4 3.087500e-01
3 6 3.087500e-01
4 0 2.500000e-02
4 2 1.323214e-01
4 3 1.323214e-01
4 5 1.323214e-01
4 6 1.323214e-01
4 8 1.323214e-01
4 9 1.323214e-01
4 10 1.323214e-01
5 0 2.500000e-02
5 1 2.315625e-01
5 4 2.315625e-01
5 6 2.315625e-01
5 8 2.315625e-01
6 0 2.500000e-02
6 1 1.543750e-01
6 3 1.543750e-01
6 4 1.543750e-01
6 5 1.543750e-01
6 9 1.543750e-01
6 10 1.543750e-01
7 0 2.500000e-02
7 8 4.631250e-01
7 10 4.631250e-01
8 0 2.500000e-02
8 4 1.852500e-01
8 5 1.852500e-01
8 7 1.852500e-01
8 9 1.852500e-01
8 10 1.852500e-01
9 0 2.500000e-02
9 1 1.852500e-01
9 2 1.852500e-01
9 4 1.852500e-01
9 6 1.852500e-01
9 8 1.852500e-01
10 0 2.500000e-02
10 1 1.852500e-01
10 4 1.852500e-01
10 6 1.852500e-01
10 7 1.852500e-01
10 8 1.852500e-01
